,Stock,Mkt Cap $m,LB,TDebt,TEquity,TLnD,PE Ratio,Average 5Y Dividend yield (%),Sh price on 2 Apr 2026,Sh price on 31 Decc 2025,Percentage +ve drop/-ve increase (%),Gross Revenue ($million),EBITDA,Total Assets,Free Cash Flow (FCF),Price/Gross Revenue,Price/EBITDA,Price/Total Assests,Price/FCF,Financial Year Ending,mainboard (m) or catalyst (c),Stk code
1,COSCO SHP SG,510.55,0.71,93.58,781.08,874.67, -   ,0.78,0.11,0.12,-5.79,194,61.29,980.31,33.25,2.63,8.33,0.52,15.36,12/31/2025,m,F83
2,SATS,"5,321.00",0.52,"1,843.00","2,768.90","4,611.90",19.89,1.54,3.58,3.81,-6.04,"5,821.00","1,166.00","8,882.00",669.4,0.91,4.56,0.6,7.95,3/31/2025,m,S58
3,SIA,"20,973.00",0.5,"12,914.30","16,070.00","28,984.30",17.5,5.26,6.65,6.4,3.91,"19,539.80","5,711.90","43,086.80","2,834.00",1.07,3.67,0.49,7.4,3/31/2025,m,C6L
4,SIA Engineering,"3,651.00",0.32,85.2,"1,741.61","1,826.81",23.29,2.91,3.26,3.6,-9.44,"1,245.00",214.88,"2,141.39",102.6,2.93,16.99,1.7,35.58,3/31/2025,m,S59
5,SingPost,776.69,0.21,370.23,"1,607.48","1,977.71",3.14,1.22,0.35,0.41,-14.81,813.7,387.25,"2,390.42",26.67,0.95,2.01,0.32,29.12,3/31/2025,m,S08
6,Wing Tai,"1,222.00",0.23,"1,242.12","2,902.96","4,145.08", -   ,1.88,1.6,1.42,12.68,230.21,-4.16,"4,275.55",-447.44,5.31,-293.96,0.29,-2.73,6/30/2025,m,W05
7,CapitaLandInvest,"13,679.00",0.61,"8,462.00","13,524.00","21,986.00",91.33,4.38,2.74,2.71,1.11,"2,133.00",735,"24,211.00",479,6.41,18.61,0.56,28.56,12/31/2025,m,9CI
8,ComfortDelGro,"3,120.00",0.24,"1,821.50","2,980.70","4,802.20",13.09,5.9,1.44,1.48,-2.7,"5,058.00",793.8,"6,138.90",-136.5,0.62,3.93,0.51,-22.86,12/31/2025,m,C52
9,Frasers Property,"3,808.00",0.33,"18,525.84","17,148.51","35,674.36",16.17,4.64,0.97,1.13,-14.16,"3,403.52","1,322.53","39,747.62",981.79,1.12,2.88,0.1,3.88,9/30/2025,m,TQ5
10,Raffles Edu,224.36,0.72,218.89,640.56,859.45, -   , -   ,0.13,0.14,-9.35,111.71,43.6,"1,018.75",0.15,2.01,5.15,0.22,"1,547.29",6/30/2025,,NR7
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,Audience,60.49,0.08,0.03,23.27,23.3,13,5.77,0.26,0.26, -   ,15.96,5.79,26.02,4.44,3.79,10.45,2.33,13.64,12/31/2025,c,1AZ
2,Dezign Format,38,1,2.39,11.08,13.47,19, -   ,0.19,0.23,-17.39,33.1,3.03,24.95,-6.51,1.15,12.54,1.52,-5.84,12/31/2025,c,UZF
3,GKE,64.4,0.28,53.12,100.13,153.25,7.5,5.33,0.08,0.1,-21.05,126.52,29.93,184.24,14.76,0.51,2.15,0.35,4.36,5/31/2025,c,595
4,Hiap Tong,35.55,-0.04,52.65,99.91,152.55,11.2,0.89,0.11,0.1,16.67,91.92,23.99,182.03,19.87,0.39,1.48,0.2,1.79,12/31/2025,c,5PO
5,LS 2 Holdings,14.8,4.11,2.56,23.81,26.37,4, -   ,0.08,0.07,8.11,71.81,7.61,37.84,6.15,0.21,1.94,0.39,2.4,12/31/2025,c,ENV
6,VCPlus,17.01,0.69,0.17,0.63,0.8, -   , -   ,0,0, -   ,0.19,-2.28,1.47,-1.39,89.07,-7.46,11.56,-12.26,3/31/2025,c,43E
7,ZICO Hldgs,19.71,0.18,8.94,28.54,37.47, -   , -   ,0.05,0.06,-12.73,14.31,3.55,42.2,-0.5,1.38,5.55,0.47,-39.1,6/30/2025,c,40W
8,UnUsUaL,25.55,-0.38,1.83,27.99,29.82, -   , -   ,0.03,0.04,-30.56,53.22,-18.58,37.47,4.37,0.48,-1.38,0.68,5.84,3/31/2025,c,1D1
9,Abundante,15.26,0.3, -   ,18.64,18.64, -   , -   ,0.15,0.16,-6.25,7.33,0.78,19.59,0.25,2.08,19.54,0.78,60.77,2/28/2025,m,570
10,A-Smart,30.32,-0.34,6.82, -   ,6.82, -   , -   ,0.11,0.11, -   , -   , -   , -   ,-2.6,#DIV/0!,#DIV/0!,#DIV/0!,-11.66,7/31/2025,m,BQC
11,Chasen,29.45,0.28,100.7,82.21,182.91, -   , -   ,0.08,0.09,-11.49,116.32,5.15,205.47,-53.25,0.25,5.72,0.14,-0.55,3/31/2025,m,5NV
12,Eneco Energy,34.21,0.66,9.76,21.84,31.6, -   , -   ,0.01,0.01,-10,31.3,6.52,37.45,3.37,1.09,5.24,0.91,10.14,6/30/2025,m,R14
13,KingsmenCreative,120.16,0.22,15.47,124.27,139.74,8.5,5.04,0.6,0.5,19,372.54,23.41,284.75,27.54,0.32,5.13,0.42,4.36,12/31/2025,m,5MZ
